gene_id	gene_probability
MTG19	0.15397303	0.530
MTG20	0.15397303	0.530
MTG8	0.15397303	0.530
MTG7	0.08981760	0.296
MTG61	0.08330908	0.263
MTG17	0.05239360	0.062
MTG60	0.05239360	0.062
MTG18	0.04456067	-0.009
MTG16	0.03505077	-0.113
MTG11	0.02395136	-0.278
MTG14	0.02395136	-0.278
MTG15	0.02395136	-0.278
MTG5	0.02177396	-0.320
MTG12	0.01774175	-0.409
MTG13	0.01774175	-0.409
MTG10	0.01623821	-0.447
MTG6	0.01056678	-0.634
MTG9	0.00805088	-0.752
MTG3	0.00622113	-0.864
MTG4	0.00622113	-0.864
MTG2	0.00278504	-1.213
MTG1	0.00136087	-1.524
