#ISA
child_id	parent_id	source
2	1	test
3	1	test
4	1	test
5	1	test
6	5	test
6	4	test
7	6	test
8	6	test
9	3	test
10	3	test
11	9	test
11	10	test
12	9	test
13	9	test
14	12	test
14	11	test
15	13	test
16	13	test
17	13	test
18	13	test
19	18	test
20	21	test
21	16	test
22	16	test
23	21	test
23	22	test
24	21	test
24	22	test
25	23	test
26	24	test
27	26	test
28	26	test
29	25	test
30	20	test
31	20	test
32	20	test
33	20	test
34	19	test
34	36	test
35	36	test
36	38	test
36	37	test
37	7	test
38	7	test
39	6	test
40	14	test
