#KSZ-DISEASES
disease_id	symptom_id	frequency	disease
100	1	occasional [Orphanet]	100A
101	35	very frequent [Orphanet]	101B
101	8	very frequent [Orphanet]	101B
101	17	occasional [Orphanet]	101B
101	19	frequent [Orphanet]	101B
101	24	frequent [Orphanet]	101B
101	25	occasional [Orphanet]	101B
101	11	occasional [Orphanet]	101B
101	12	very frequent [Orphanet]	101B
102	28	rare [HPO]	102C
103	23	very frequent [Orphanet]	103D
103	24	occasional [Orphanet]	103D
103	11	occasional [Orphanet]	103D
103	34	frequent [Orphanet]	103D
104	28	very frequent [Orphanet]	104E
104	2	common [HPO]	104E
104	19	occasional [Orphanet]	104E
104	6	variable [HPO]	104E
105	6	frequent [Orphanet]	105F
105	40	very frequent [Orphanet]	105F
105	20	occasional [Orphanet]	105F
106	11	frequent [Orphanet]	106G
106	5	occasional [Orphanet]	106G
106	16	occasional [Orphanet]	106G
107	37	very frequent [Orphanet]	107H
107	38	frequent [Orphanet]	107H
107	33	occasional [Orphanet]	107H
107	25	frequent [Orphanet]	107H
107	15	very frequent [Orphanet]	107H
107	2	occasional [Orphanet]	107H
108	14	frequent [Orphanet]	108I
108	39	very frequent [Orphanet]	108I
109	23	occasional [Orphanet]	109J
109	24	occasional [Orphanet]	109J
109	11	frequent [Orphanet]	109J
109	34	very frequent [Orphanet]	109J
109	2	frequent [Orphanet]	109J
109	33	occasional [Orphanet]	109J
109	39	occasional [Orphanet]	109J
109	30	frequent [Orphanet]	109J
110	20	very frequent [Orphanet]	110K
110	13	frequent [Orphanet]	110K
110	34	occasional [Orphanet]	110K
110	8	occasional [Orphanet]	110K
110	14	frequent [Orphanet]	110K
