#SYMPTOMS+SYNONYMS
symptom_id	symptom_name	source
1	n1	OMIM:0000
2	n2_1	HPO:0000
2	n2_2	MedDRA:0000
2	n2_3	MedDRA:0000
2	n2_4	OMIM:0000
3	n3	IBIS:0000
4	n4	OMIM:0000
5	n5	Orphanet:0000
6	n6	OMIM:0000
7	n7	Orphanet:0000
8	n8	IBIS:0000
9	n9_1	OMIM:0000
9	n9_2	Orphanet:0000
10	n10	MedDRA:0000
11	n11	OMIM:0000
12	n12	HPO:0000
13	n13	OMIM:0000
14	n14	OMIM:0000
15	n15_1	Orphanet:0000
15	n15_2	OMIM:0000
16	n16	HPO:0000
17	n17	OMIM:0000
18	n18_1	IBIS:0000
18	n18_2	Orphanet:0000
19	n19	OMIM:0000
20	n20_1	MedDRA:0000
20	n20_2	MedDRA:0000
21	n21	Orphanet:0000
22	n22	IBIS:0000
23	n23	OMIM:0000
24	n24	Orphanet:0000
25	n25	MedDRA:0000
26	n26	HPO:0000
27	n27	MedDRA:0000
28	n28	OMIM:0000
29	n29	MedDRA:0000
30	n30	HPO:0000
31	n31	MedDRA:0000
32	n32	OMIM:0000
33	n33	IBIS:0000
34	n34	MedDRA:0000
35	n35_1	OMIM:0000
35	n35_2	OMIM:0000
35	n35_3	HPO:0000
36	n36_1	HPO:0000
36	n36_2	MedDRA:0000
37	n37	Orphanet:0000
38	n38	MedDRA:0000
39	n39	OMIM:0000
40	n40	MedDRA:0000
