gene_id	gene_score	contribution
MTG15	0.99985	M08
MTG18	0.99985	M05
MTG19	0.99985	M05
MTG25	0.99985	M05
MTG26	0.79681	M10
MTG27	0.79681	M10
MTG28	0.79681	M10
MTG30	0.79681	M10
MTG20	0.70423	M01
MTG16	0.4	M06
MTG17	0.4	M06
MTG21	0.07902	M02
MTG22	0.07493	M03
MTG23	0.07493	M03
MTG24	0.07493	M03
MTG29	0.06754	M09
MTG1	0.01189	M15
MTG10	0.01189	M15
MTG11	0.01189	M15
MTG12	0.01189	M15
MTG13	0.01189	M15
MTG14	0.01189	M15
MTG2	0.01189	M15
MTG3	0.01189	M15
MTG31	0.01189	M15
MTG32	0.01189	M15
MTG33	0.01189	M15
MTG34	0.01189	M15
MTG35	0.01189	M15
MTG36	0.01189	M15
MTG37	0.01189	M15
MTG38	0.01189	M15
MTG39	0.01189	M15
MTG4	0.01189	M15
MTG40	0.01189	M15
MTG41	0.01189	M15
MTG42	0.01189	M15
MTG43	0.01189	M15
MTG44	0.01189	M15
MTG45	0.01189	M15
MTG46	0.01189	M15
MTG47	0.01189	M15
MTG48	0.01189	M15
MTG49	0.01189	M15
MTG5	0.01189	M15
MTG50	0.01189	M15
MTG6	0.01189	M15
MTG7	0.01189	M15
MTG8	0.01189	M15
MTG9	0.01189	M15
