gene_id	gene_score	contribution
MTG22	0.99998	M04
MTG24	0.99998	M04
MTG19	0.99988	M04
MTG25	0.99988	M04
MTG23	0.87099	M03
MTG15	0.59455	M08
MTG21	0.5761	M02
MTG20	0.40655	M01
MTG26	0.28785	M10
MTG27	0.28785	M10
MTG28	0.28785	M10
MTG16	0.21914	M06
MTG17	0.21914	M06
MTG18	0.19074	M05
MTG30	0.16916	M10
MTG29	0.15221	M09
MTG1	0.01091	M11
MTG10	0.01091	M11
MTG11	0.01091	M11
MTG12	0.01091	M11
MTG13	0.01091	M11
MTG14	0.01091	M11
MTG2	0.01091	M11
MTG3	0.01091	M11
MTG31	0.01091	M11
MTG32	0.01091	M11
MTG33	0.01091	M11
MTG34	0.01091	M11
MTG35	0.01091	M11
MTG36	0.01091	M11
MTG37	0.01091	M11
MTG38	0.01091	M11
MTG39	0.01091	M11
MTG4	0.01091	M11
MTG40	0.01091	M11
MTG41	0.01091	M11
MTG42	0.01091	M11
MTG43	0.01091	M11
MTG44	0.01091	M11
MTG45	0.01091	M11
MTG46	0.01091	M11
MTG47	0.01091	M11
MTG48	0.01091	M11
MTG49	0.01091	M11
MTG5	0.01091	M11
MTG50	0.01091	M11
MTG6	0.01091	M11
MTG7	0.01091	M11
MTG8	0.01091	M11
MTG9	0.01091	M11
