metabolite_id	metabolite_name	type	score	probability
M14	M14	concentration	2.5	0.0
M15	M15	concentration	2.4	0.0001
M12	M12	concentration	2.3	0.0002
M10	M10	concentration	2.2	0.0008
M11	M11	concentration	2.1	0.002
M13	M13	concentration	2.0	0.004
M05	M05	concentration	1.9	0.01
M04	M04	concentration	1.8	0.02
M06	M06	concentration	1.7	0.03
M02	M02	concentration	1.6	0.04
M01	M01	concentration	1.5	0.05
M03	M03	concentration	1.4	0.09
M09	M09	concentration	1.3	0.11
M08	M08	concentration	1.2	0.14
M07	M07	concentration	1.1	0.25
