metabolite_id	type	group	mean	stdev	missingness	min	metabolite_name
M01	binary				97.2		M01
M02	binary				77.7		M02
M03	binary				82.3		M03
M04	binary				95.5		M04
M05	binary				100.0		M05
M06	concentration	1	-1.0	0.2	10.0	-1.5	M06
M06	concentration	2	0.0	0.5	10.0	-1.5	M06
M06	concentration	3	1.0	0.2	10.0	-1.5	M06
M07	concentration	1	0.2	0.1	2.2	-0.1	M07
M07	concentration	2	0.2	0.1	2.2	-0.1	M07
M07	concentration	3	0.2	0.1	2.2	-0.1	M07
M08	concentration	1	-0.3	1.0	0.0	-0.8	M08
M08	concentration	2	-0.4	0.1	0.0	-0.8	M08
M08	concentration	3	-0.5	0.5	0.0	-0.8	M08
M09	concentration	1	0.7	0.2	5.3	-0.5	M09
M09	concentration	2	0.7	1.0	5.3	-0.5	M09
M09	concentration	3	0.8	1.0	5.3	-0.5	M09
M10	concentration	1	0.2	1.4	1.7	-4.0	M10
M10	concentration	2	-2.0	1.3	1.7	-4.0	M10
M10	concentration	3	2.5	1.2	1.7	-4.0	M10
M11	concentration	1	1.5	0.6	25.0	0.2	M11
M11	concentration	2	0.9	0.6	25.0	0.2	M11
M11	concentration	3	1.2	0.6	25.0	0.2	M11
M12	concentration	1	-0.6	0.4	40.0	-2.2	M12
M12	concentration	2	-0.8	0.9	40.0	-2.2	M12
M12	concentration	3	-0.2	0.2	40.0	-2.2	M12
M13	concentration	1	-2.2	0.1	8.5	-5.0	M13
M13	concentration	2	3.1	0.7	8.5	-5.0	M13
M13	concentration	3	0.3	0.3	8.5	-5.0	M13
M14	concentration	1	0.2	1.1	16.6	-0.9	M14
M14	concentration	2	-0.6	1.4	16.6	-0.9	M14
M14	concentration	3	-0.2	1.5	16.6	-0.9	M14
M15	concentration	1	-1.8	0.2	4.0	-2.8	M15
M15	concentration	2	-1.2	0.1	4.0	-2.8	M15
M15	concentration	3	-1.4	0.2	4.0	-2.8	M15
