gene_id	score	importantDiseases
MTG15	0.99717	105
MTG3	0.9957	101
MTG14	0.98268	101
MTG4	0.98268	101
MTG21	0.96271	107
MTG12	0.95663	102
MTG8	0.95663	103
MTG17	0.92651	105
MTG18	0.92651	105
MTG1	0.90394	101
MTG2	0.90394	101
MTG10	0.82521	102
MTG5	0.82521	103
MTG6	0.82521	103
MTG7	0.82521	103
MTG9	0.82521	102
MTG11	0.75949	104
MTG13	0.75949	104
MTG16	0.75949	105
MTG19	0.75949	105
MTG20	0.70382	106
MTG25	0.70382	107
MTG22	0.65605	109
MTG23	0.65605	109
MTG24	0.65605	108
MTG26	0.03069	100
MTG27	0.03069	100
MTG28	0.03069	100
MTG29	0.03069	100
MTG30	0.03069	100
MTG31	0.03069	100
MTG32	0.03069	100
MTG33	0.03069	100
MTG34	0.03069	100
MTG35	0.03069	100
MTG36	0.03069	100
MTG37	0.03069	100
MTG38	0.03069	100
MTG39	0.03069	100
MTG40	0.03069	100
MTG41	0.03069	100
MTG42	0.03069	100
MTG43	0.03069	100
MTG44	0.03069	100
MTG45	0.03069	100
MTG46	0.03069	100
MTG47	0.03069	100
MTG48	0.03069	100
MTG49	0.03069	100
MTG50	0.03069	100
