#KSZ-DISEASES
disease_id	symptom_id	disease
100	1	100A
101	35	101B
101	8	101B
101	17	101B
101	19	101B
101	24	101B
101	25	101B
101	11	101B
101	12	101B
102	28	102C
103	23	103D
103	24	103D
103	11	103D
103	34	103D
104	28	104E
104	2	104E
104	19	104E
104	6	104E
105	6	105F
105	40	105F
105	20	105F
106	11	106G
106	5	106G
106	16	106G
107	37	107H
107	38	107H
107	33	107H
107	25	107H
107	15	107H
107	2	107H
108	14	108I
108	39	108I
109	23	109J
109	24	109J
109	11	109J
109	34	109J
109	2	109J
109	33	109J
109	39	109J
109	30	109J
110	20	110K
110	13	110K
110	34	110K
110	8	110K
110	14	110K
